matrix,scaling_type,read_mode,mpi_ranks,omp_threads,status,spmv_total_p90_ms,spmv_comm_p90_ms,spmv_comp_p90_ms,gflops,dist_sum_mb,iter_sum_mb,nnz_min,nnz_avg,nnz_max
matrices/strong/amazon0312.mtx,strong,mpiio,16,4,OK,5.116,4.341,0.775,1.251205,48.835,12.229,3775,200026.56,712093
matrices/strong/amazon0312.mtx,strong,mpiio,16,8,OK,3.126,1.548,1.577,2.047835,48.835,12.229,3775,200026.56,712093
matrices/strong/amazon0312.mtx,strong,mpiio,32,2,OK,14.027,13.809,0.217,0.456333,48.834,12.229,864,100012.91,369238
matrices/strong/amazon0312.mtx,strong,mpiio,32,4,OK,2.119,1.642,0.477,3.020591,48.834,12.229,864,100012.91,369238
matrices/strong/amazon0312.mtx,strong,mpiio,64,2,OK,12.948,11.663,1.284,0.494361,48.834,24.458,0,50005.95,296398
matrices/strong/ecology2.mtx,strong,mpiio,1,2,OK,7.471,1.720,5.751,1.337506,76.233,7.629,4995991,4995991.00,4995991
matrices/strong/ecology2.mtx,strong,mpiio,1,4,OK,7.791,1.721,6.070,1.282496,76.233,7.629,4995991,4995991.00,4995991
matrices/strong/ecology2.mtx,strong,mpiio,1,8,OK,8.048,1.720,6.327,1.241576,76.233,7.629,4995991,4995991.00,4995991
matrices/strong/ecology2.mtx,strong,mpiio,2,2,OK,4.040,0.874,3.165,2.473406,76.233,7.629,2497989,2497994.50,2498000
matrices/strong/ecology2.mtx,strong,mpiio,2,4,OK,4.165,0.859,3.306,2.399072,76.233,7.629,2497989,2497994.50,2498000
matrices/strong/ecology2.mtx,strong,mpiio,2,8,OK,4.553,0.848,3.705,2.194554,76.233,7.629,2497989,2497994.50,2498000
matrices/strong/ecology2.mtx,strong,mpiio,4,2,OK,7.103,5.929,1.174,1.406685,76.233,15.259,1000,1248996.25,2496998
matrices/strong/ecology2.mtx,strong,mpiio,4,4,OK,7.443,6.019,1.423,1.342517,76.233,15.259,1000,1248996.25,2496998
matrices/strong/ecology2.mtx,strong,mpiio,4,8,OK,7.695,2.874,4.820,1.298508,76.233,15.259,1000,1248996.25,2496998
matrices/strong/ecology2.mtx,strong,mpiio,8,2,OK,5.702,1.820,3.881,1.752427,76.233,15.259,0,624497.25,1248498
matrices/strong/ecology2.mtx,strong,mpiio,8,4,OK,5.824,4.495,1.328,1.715696,76.233,15.259,0,624497.25,1248498
matrices/strong/ecology2.mtx,strong,mpiio,8,8,OK,6.228,4.540,1.688,1.604245,76.233,15.259,0,624497.25,1248498
matrices/strong/ecology2.mtx,strong,mpiio,16,2,OK,11.486,9.051,2.434,0.869955,76.232,30.518,0,312247.88,1247495
matrices/strong/ecology2.mtx,strong,mpiio,16,4,OK,11.631,9.142,2.488,0.859077,76.232,30.518,0,312247.88,1247495
matrices/strong/ecology2.mtx,strong,mpiio,16,8,OK,6.361,4.634,1.727,1.570868,76.232,30.518,0,312247.88,1247495
matrices/strong/ecology2.mtx,strong,mpiio,32,2,OK,14.700,13.484,1.216,0.679734,76.232,30.518,0,156123.16,623746
matrices/strong/ecology2.mtx,strong,mpiio,32,4,OK,5.141,3.799,1.341,1.943470,76.232,30.518,0,156123.16,623746
matrices/strong/ecology2.mtx,strong,mpiio,64,2,OK,15.380,14.068,1.312,0.649655,76.231,61.035,0,78060.81,622739
matrices/strong/webbase-1M.mtx,strong,mpiio,1,2,OK,7.672,1.721,5.951,0.809544,47.387,7.629,3105536,3105536.00,3105536
matrices/strong/webbase-1M.mtx,strong,mpiio,1,4,OK,7.718,1.709,6.008,0.804792,47.387,7.629,3105536,3105536.00,3105536
matrices/strong/webbase-1M.mtx,strong,mpiio,1,8,OK,8.116,1.713,6.403,0.765264,47.387,7.629,3105536,3105536.00,3105536
