matrix;approach;variant;threads;schedule;chunk;block_rows;p90_ms;gflops;bandwidth
west0479.mtx;parallel(omp+csr);loop;2;guided;8;0;0.003742;1.020830;10.208297
west0479.mtx;parallel(omp+csr);loop;2;guided;16;0;0.003878;0.985037;9.850369
west0479.mtx;parallel(omp+csr);loop;2;guided;32;0;0.003854;0.991226;9.912261
west0479.mtx;parallel(omp+csr);loop;4;static;0;0;0.013025;0.293271;2.932714
west0479.mtx;parallel(omp+csr);loop;4;static;1;0;0.021929;0.174199;1.741992
west0479.mtx;parallel(omp+csr);loop;4;static;4;0;0.011861;0.322055;3.220551
west0479.mtx;parallel(omp+csr);loop;4;static;8;0;0.011172;0.341922;3.419218
west0479.mtx;parallel(omp+csr);loop;4;static;16;0;0.009680;0.394621;3.946213
west0479.mtx;parallel(omp+csr);loop;4;static;32;0;0.014938;0.255717;2.557166
west0479.mtx;parallel(omp+csr);loop;4;dynamic;0;0;0.058336;0.065483;0.654825
west0479.mtx;parallel(omp+csr);loop;4;dynamic;1;0;0.059713;0.063973;0.639730
west0479.mtx;parallel(omp+csr);loop;4;dynamic;4;0;0.022106;0.172805;1.728048
west0479.mtx;parallel(omp+csr);loop;4;dynamic;8;0;0.013746;0.277893;2.778925
west0479.mtx;parallel(omp+csr);loop;4;dynamic;16;0;0.023544;0.162251;1.622505
west0479.mtx;parallel(omp+csr);loop;4;dynamic;32;0;0.008974;0.425664;4.256635
west0479.mtx;parallel(omp+csr);loop;4;guided;0;0;0.015132;0.252443;2.524430
west0479.mtx;parallel(omp+csr);loop;4;guided;1;0;0.017934;0.213009;2.130086
west0479.mtx;parallel(omp+csr);loop;4;guided;4;0;0.013504;0.282875;2.828754
west0479.mtx;parallel(omp+csr);loop;4;guided;8;0;0.018910;0.202014;2.020141
west0479.mtx;parallel(omp+csr);loop;4;guided;16;0;0.020111;0.189946;1.899460
west0479.mtx;parallel(omp+csr);loop;4;guided;32;0;0.034230;0.111599;1.115986
west0479.mtx;parallel(omp+csr);loop;8;static;0;0;0.015201;0.251298;2.512985
west0479.mtx;parallel(omp+csr);loop;8;static;1;0;0.023246;0.164331;1.643307
west0479.mtx;parallel(omp+csr);loop;8;static;4;0;0.029197;0.130836;1.308355
west0479.mtx;parallel(omp+csr);loop;8;static;8;0;0.014784;0.258391;2.583907
west0479.mtx;parallel(omp+csr);loop;8;static;16;0;0.012971;0.294493;2.944927
west0479.mtx;parallel(omp+csr);loop;8;static;32;0;0.012368;0.308862;3.088625
west0479.mtx;parallel(omp+csr);loop;8;dynamic;0;0;0.086805;0.044007;0.440068
west0479.mtx;parallel(omp+csr);loop;8;dynamic;1;0;0.071503;0.053424;0.534242
